#LMID	Name	Category	Subcategory	Formula	Mass	NumofC	NumofH	NumofO	NumofN	NumofP	NumofS	H:C	H:O	C:O	C:N	C:S	C:P	Afterdecmass	AMD	RMD
LMFA03120018	"methyl_4R,12S-diacetoxy-9-oxo-5Z,7E,10Z,13Z,17Z-prostapentaenoate-cyclo[8,12]"	Fatty_Acyls	Eicosanoids	C25H32O7N0S0P0	444.214806	25	32	7	0	0	0	1.28	4.571428571	3.571428571	0	0	0	0.2148	0.2148	484
LMFA05000470	6-Methyl-5-hepten-2S-ol	Fatty_Acyls	Fatty_alcohols	C8H16O1N0S0P0	128.120115	8	16	1	0	0	0	2	16	8	0	0	0	0.1201	0.1201	937
LMFA01050195	"12-hydroxy-5,8,10-heptadecatrienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C17H28O3N0S0P0	280.203846	17	28	3	0	0	0	1.647058824	9.333333333	5.666666667	0	0	0	0.2038	0.2038	727
LMFA01030589	8-tetradecynoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C14H24O2N0S0P0	224.17763	14	24	2	0	0	0	1.714285714	12	7	0	0	0	0.1776	0.1776	792
LMFA01060132	19-oxo-eicosanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C20H38O3N0S0P0	326.282096	20	38	3	0	0	0	1.9	12.66666667	6.666666667	0	0	0	0.2821	0.2821	865
LMFA06000118	4-oxo-butanoic_acid	Fatty_Acyls	Fatty_aldehydes	C4H6O3N0S0P0	102.031695	4	6	3	0	0	0	1.5	2	1.333333333	0	0	0	0.0317	0.0317	311
LMFA01040053	"methyl_11-(3,5-epidioxy-2-ethyl-cyclopentyl)-9-hydroperoxy-10-undecenoate"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C19H32O6N0S0P0	356.219891	19	32	6	0	0	0	1.684210526	5.333333333	3.166666667	0	0	0	0.2199	0.2199	617
LMFA03110032	"9R,11S,15S-trihydroxy-5Z,13E-prostadienoic_acid-cyclo[8R,12S]"	Fatty_Acyls	Eicosanoids	C20H34O5N0S0P0	354.240626	20	34	5	0	0	0	1.7	6.8	4	0	0	0	0.2406	0.2406	679
LMFA02000004	"18-hydroxy-9S,10R-epoxy-octadecanoic_acid"	Fatty_Acyls	Octadecanoids	C18H34O4N0S0P0	314.245711	18	34	4	0	0	0	1.888888889	8.5	4.5	0	0	0	0.2457	0.2457	782
LMFA07050009	3Z-dodecenoyl-CoA	Fatty_Acyls	Fatty_esters	C33H56O17N7S1P3	947.266632	33	56	17	7	3	1	1.696969697	3.294117647	1.941176471	4.714285714	33	11	0.2666	0.2666	281
LMFA03060073	"8S-hydoperoxy-5Z,9E,11Z,14Z-eicosatetraenoic_acid"	Fatty_Acyls	Eicosanoids	C20H32O4N0S0P0	336.230061	20	32	4	0	0	0	1.6	8	5	0	0	0	0.2301	0.2301	684
LMFA07050030	Acetoacetyl-CoA	Fatty_Acyls	Fatty_esters	C25H40O18N7S1P3	851.136347	25	40	18	7	3	1	1.6	2.222222222	1.388888889	3.571428571	25	8.333333333	0.1363	0.1363	160
LMFA07010667	Isopropyl_7Z-dodecenoate	Fatty_Acyls	Fatty_esters	C15H28O2N0S0P0	240.20893	15	28	2	0	0	0	1.866666667	14	7.5	0	0	0	0.2089	0.2089	870
LMFA01090096	"6-bromo-24-methyl-pentacosa-5E,9Z-dienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C26H47O2N0S0P0	391.357601	26	47	2	0	0	0	1.807692308	23.5	13	0	0	0	0.2759	0.2759	587
LMFA06000006	"2,4-hexadienal"	Fatty_Acyls	Fatty_aldehydes	C6H8O1N0S0P0	96.057515	6	8	1	0	0	0	1.333333333	8	6	0	0	0	0.0575	0.0575	599
LMFA03010098	"9S,15S-dihydroxy-11R,18-diacetoxy-5Z,13E-prostadienoic_acid"	Fatty_Acyls	Eicosanoids	C24H38O8N0S0P0	454.256671	24	38	8	0	0	0	1.583333333	4.75	3	0	0	0	0.2567	0.2567	565
LMFA03040010	"(5S,6R,7E,9E,11Z,13E,15R)-5,6,15-trihydroxyicosa-7,9,11,13-tetraenoic_acid"	Fatty_Acyls	Eicosanoids	C20H32O5N0S0P0	352.224974	20	32	5	0	0	0	1.6	6.4	4	0	0	0	0.225	0.225	639
LMFA01030800	3-Methyleneheptanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C8H14O2N0S0P0	142.09938	8	14	2	0	0	0	1.75	7	4	0	0	0	0.0994	0.0994	700
LMFA11000652	1-methyl-2-propylcyclohexane	Fatty_Acyls	Hydrocarbons	C10H20O0N0S0P0	140.1565	10	20	0	0	0	0	2	0	0	0	0	0	0.1565	0.1565	1117
LMFA07050230	"7-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethylsulfanyl]-3-isopropenyl-7-oxo-heptanoic_acid"	Fatty_Acyls	Fatty_esters	C31H50O19N7S1P3	949.209503	31	50	19	7	3	1	1.612903226	2.631578947	1.631578947	4.428571429	31	10.33333333	0.2095	0.2095	221
LMFA03110103	"15S-hydroxy-11-oxo-5Z,9,13E-prostatrienoic_acid-cyclo[8R,12R]"	Fatty_Acyls	Eicosanoids	C20H30O4N0S0P0	334.214411	20	30	4	0	0	0	1.5	7.5	5	0	0	0	0.2144	0.2144	642
LMFA07050029	Acetyl-CoA	Fatty_Acyls	Fatty_esters	C23H38O17N7S1P3	809.125782	23	38	17	7	3	1	1.652173913	2.235294118	1.352941176	3.285714286	23	7.666666667	0.1258	0.1258	155
LMFA01050262	7-hydroxy-5-heptynoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C7H10O3N0S0P0	142.062995	7	10	3	0	0	0	1.428571429	3.333333333	2.333333333	0	0	0	0.063	0.063	443
LMFA12000288	"3,4-Epoxy-6,9-octadecadiene"	Fatty_Acyls	Oxygenated_hydrocarbons	C18H32O1N0S0P0	264.245316	18	32	1	0	0	0	1.777777778	32	18	0	0	0	0.2453	0.2453	928
LMFA11000409	3-Methyltritriacontane	Fatty_Acyls	Hydrocarbons	C34H70O0N0S0P0	478.547751	34	70	0	0	0	0	2.058823529	0	0	0	0	0	0.5478	0.4522	945
LMFA07010596	"2,6-Dimethyl-5-heptenyl_octanoate"	Fatty_Acyls	Fatty_esters	C17H34O2N0S0P0	270.255881	17	34	2	0	0	0	2	17	8.5	0	0	0	0.2559	0.2559	947
LMFA01100040	5-amino-pentanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C5H11O2N1S0P0	117.078979	5	11	2	1	0	0	2.2	5.5	2.5	5	0	0	0.079	0.079	675
LMFA08040001	"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine"	Fatty_Acyls	Fatty_amides	C22H37O2N1S0P0	347.282429	22	37	2	1	0	0	1.681818182	18.5	11	22	0	0	0.2824	0.2824	813
LMFA01020311	"2R,4R,6R-trimethyl-tetracosanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C27H54O2N0S0P0	410.412381	27	54	2	0	0	0	2	27	13.5	0	0	0	0.4124	0.4124	1005
LMFA11000327	1-Pentadecene	Fatty_Acyls	Hydrocarbons	C15H30O0N0S0P0	210.234751	15	30	0	0	0	0	2	0	0	0	0	0	0.2348	0.2348	1117
LMFA01050173	10-hydroxy-tetradecanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C14H28O3N0S0P0	244.203846	14	28	3	0	0	0	2	9.333333333	4.666666667	0	0	0	0.2038	0.2038	835
LMFA06000210	10Z-Hexadecenal	Fatty_Acyls	Fatty_aldehydes	C16H30O1N0S0P0	238.229666	16	30	1	0	0	0	1.875	30	16	0	0	0	0.2297	0.2297	964
LMFA01050483	2-oxidanylpentanedioic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C5H8O5N0S0P0	148.037173	5	8	5	0	0	0	1.6	1.6	1	0	0	0	0.0372	0.0372	251
LMFA11000420	"4,8,12-Trimethyloctacosane"	Fatty_Acyls	Hydrocarbons	C31H64O0N0S0P0	436.500801	31	64	0	0	0	0	2.064516129	0	0	0	0	0	0.5008	0.4992	1144
LMFA01120003	10-nitro-9E-octadecenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C18H33O4N1S0P0	327.240959	18	33	4	1	0	0	1.833333333	8.25	4.5	18	0	0	0.241	0.241	736
LMFA07050395	"3pr-phosphoadenosine_5pr-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-({3-oxo-3-[(2-{[(11E)-tetradec-11-enoyl]sulfanyl}ethyl)amino]propyl}amino)butyl]_dihydrogen_diphosphate}"	Fatty_Acyls	Fatty_esters	C35H60O17N7S1P3	975.297924	35	60	17	7	3	1	1.714285714	3.529411765	2.058823529	5	35	11.66666667	0.2979	0.2979	305
LMFA02000259	15-oxo-octadecanoic_acid	Fatty_Acyls	Octadecanoids	C18H34O3N0S0P0	298.250796	18	34	3	0	0	0	1.888888889	11.33333333	6	0	0	0	0.2508	0.2508	841
LMFA07010845	"ethyl_(2E,6Z)-dodeca-2,6-dienoate"	Fatty_Acyls	Fatty_esters	C14H24O2N0S0P0	224.17763	14	24	2	0	0	0	1.714285714	12	7	0	0	0	0.1776	0.1776	792
LMFA07010352	"10E,12E,14Z-Hexadecatrienyl_acetate"	Fatty_Acyls	Fatty_esters	C18H30O2N0S0P0	278.224581	18	30	2	0	0	0	1.666666667	15	9	0	0	0	0.2246	0.2246	807
